Organization,Active,License,UBI,Type,Address,Address Line 2,City,State,County,Zip,CreateDate,DayPhone
JOHNNY FARMS,ACTIVE (ISSUED),414153,6.03358E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,5045 ADAMS RD N,,QUINCY,WA,GRANT,988489738,20171229,5092899351
HIGHLAND GARDENS,ACTIVE (ISSUED),415940,6.03359E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,35633 NE 91ST WAY  STE A,STE A,CARNATION,WA,KING,980146876,20171229,4253330509
MT GREENIER FARMS,ACTIVE (ISSUED),416279,6.03473E+15,MARIJUANA PRODUCER TIER 3,1824 RD N NE,UNIT 2,MOSES LAKE,WA,GRANT,988379816,20180302,2064273178
DEEP ROOTS FOODS,ACTIVE (ISSUED),417715,6.03351E+15,MARIJUANA PROCESSOR,13115 WAGON WHEEL BUILDING A,,RAINIER,WA,THURSTON,985769636,20180220,3607530486
OLYMPIA FARM WORKS,ACTIVE (ISSUED),423537,6.03473E+15,MARIJUANA PROCESSOR,600 RONLEE LN NW STE B,STE B,OLYMPIA,WA,THURSTON,985020000,20180205,3606886577
DOCKSIDE CANNABIS,ACTIVE (ISSUED),414174,6.03356E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,1728 4TH AVE S,,SEATTLE,WA,KING,981340000,20171214,2062236292
WABAGROW LLC,ACTIVE (ISSUED),412548,6.03346E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,19400 NE 280TH ST,,BATTLE GROUND,WA,CLARK,986048209,20171116,4253286537
GREEN CHIEFS,ACTIVE (ISSUED),412672,6.03357E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,12315 MOUNTAIN LOOP HWY STE A,,GRANITE FALLS,WA,SNOHOMISH,982520000,20171222,4257449999
FILLABONG,ACTIVE (ISSUED),415211,6.0356E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,2839 NW KITSAP PL STE A,,SILVERDALE,WA,KITSAP,983839447,20171023,3606980353
MAGU CORP,ACTIVE (ISSUED),412973,6.03349E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6884 BACON LN NE #A,,MOSES LAKE,WA,GRANT,988378248,20171205,5096698166
RAINIER VALLEY CANNABIS,ACTIVE (ISSUED),416138,6.03358E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,17409 119TH ST CT E STE 1,,BONNEY LAKE,WA,PIERCE,983918164,20180103,2533183104
SOLAR JOES,ACTIVE (ISSUED),425618,6.03351E+15,MARIJUANA PROCESSOR,13300 SE 30TH ST STE 200,,BELLEVUE,WA,KING,980050000,20180118,4254299029
HERBAL NATION,ACTIVE (ISSUED),413683,6.0349E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,19302 BOTHELL EVERETT HWY,,BOTHELL,WA,SNOHOMISH,980127113,20180306,4254861111
PURE FUNK,ACTIVE (ISSUED),412856,6.03342E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,274 A OTTO ST,,PORT TOWNSEND,WA,JEFFERSON,983689719,20171115,3605093481
LOST LAKE GARDENS,ACTIVE (ISSUED),412978,6.04103E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,1550 W GALLAGHER RD,,SHELTON,WA,MASON,985847103,20180125,3604908802
LADERA FARMS,ACTIVE (ISSUED),417301,6.03359E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,570 WEBB AVE S STE A,,EAST WENATCHEE,WA,DOUGLAS,988029388,20180103,5096696462
LAUGHING GRASS MARIJUANA PRODUCTION AND PROCE,ACTIVE (ISSUED),414145,6.03357E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,420 E MILLWRIGHT RD,,SHELTON,WA,MASON,985840000,20180105,3602290552
QUALITY GENETICS,ACTIVE (ISSUED),416061,6.0336E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,1874 BATUM RD N  STE 600,STE 600,ODESSA,WA,ADAMS,991590000,20171016,2087901869
GREEN ISLAND ORGANICS,ACTIVE (ISSUED),417081,6.03358E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,13055 ROAD 2 NE UNIT 3,UNIT 3,MOSES LAKE,WA,GRANT,988379468,20171214,2164961549
PRC,ACTIVE (ISSUED),421084,6.03321E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,5200 172ND ST NE F-101,,ARLINGTON,WA,SNOHOMISH,982234703,20171228,4253432272
ROOTWORX,ACTIVE (ISSUED),413665,6.0343E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,190 W PINE ACRES WAY,,SHELTON,WA,MASON,985848965,20180111,2538840562
HIGH SOCIETY,ACTIVE (ISSUED),414430,6.03351E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,1824 BROADWAY,,EVERETT,WA,SNOHOMISH,982012349,20180108,2063071651
LOADED SODA,ACTIVE (ISSUED),417192,6.03279E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,420 ALASKAN WAY,,CHEHALIS,WA,LEWIS,985320000,20170914,2539885020
BOTANICA SEATTLE,ACTIVE (ISSUED),412723,6.0335E+15,MARIJUANA PROCESSOR,145 S HORTON ST,,SEATTLE,WA,KING,981340000,20171122,2062012699
LOGIK,ACTIVE (ISSUED),416420,6.03356E+15,MARIJUANA PROCESSOR,13300 SE 30TH STREET #300,,BELLEVUE,WA,KING,980050000,20171214,2067699948
TOLMAN CONSTRUCTION,ACTIVE (ISSUED),417395,6.03351E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,3895 MALAGA AVE,,MALAGA,WA,CHELAN,988280000,20171205,5096688225
PRIME TIME VENTURES,ACTIVE (ISSUED),415744,6.03428E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,986 E HAMPTON RD STE 3,STE 3,LIND,WA,ADAMS,983419725,20170908,2538432880
WEEDIES,ACTIVE (ISSUED),415873,6.03361E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,7810 N MARKET ST STE A,,SPOKANE,WA,SPOKANE,992177833,20171116,5095905908
PLANT WERKZ USA,ACTIVE (ISSUED),412382,6.04017E+15,MARIJUANA PRODUCER TIER 3,20808 167TH AVE SE STE A,,MONROE,WA,SNOHOMISH,982728869,20171005,0
SERENITY CIRCLE,ACTIVE (ISSUED),415900,6.03359E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,1949 SCOTT RD BLDG B,,RICE,WA,STEVENS,991679702,20170922,5097382943
EVERGREEN MARKET - KIRKLAND,ACTIVE (ISSUED),414475,6.03565E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,8734 120TH AVE NE,,KIRKLAND,WA,KING,980335861,20171107,4253188898
ADE ORGANICS,ACTIVE (ISSUED),416040,6.03358E+15,MARIJUANA PROCESSOR,1926 PINE CREEK RD UNIT 6,,TONASKET,WA,OKANOGAN,988550000,20170113,2069816757
GREENLEAF ENVIRONMENTAL,ACTIVE (ISSUED),424551,6.03347E+15,MARIJUANA PRODUCER TIER 2,41305 N GRIFFIN RD,STE E,GRANDVIEW,WA,BENTON,989309688,20171121,2063712317
MT BAKER HOMEGROWN,ACTIVE (ISSUED),412500,6.0335E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,3929 SPUR RIDGE LANE #1,,BELLINGHAM,WA,WHATCOM,982261234,20180220,5092801655
WASHINGTON SOURCE,ACTIVE (ISSUED),418443,6.03335E+15,MARIJUANA PROCESSOR,1120 S FAIRCHILD ST #A,#A,MEDICAL LAKE,WA,SPOKANE,992028778,20171010,4254453704
QUINCY GREEN,ACTIVE (ISSUED),412358,6.0335E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,4290 STATE ROUTE 283 N STE A,,QUINCY,WA,GRANT,988489749,20171108,8447473360
OG FARMS,ACTIVE (ISSUED),412687,6.03349E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,4340 SE BLOOMFIELD RD STE B,,SHELTON,WA,MASON,985848642,20171024,2067697373
CULTIVAR FARMS,ACTIVE (ISSUED),417095,6.03349E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,3300 6TH AVE S,,SEATTLE,WA,KING,981040000,20171201,5628848694
GREEN COLLAR NORTH,ACTIVE (ISSUED),422570,6.03358E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,21412 HIGHWAY 99  STE A,,EDMONDS,WA,SNOHOMISH,980267748,20171216,3039577942
POPA'S FARMS,ACTIVE (ISSUED),417409,6.0336E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,1874 BATUM RD N  STE 300,STE 300,ODESSA,WA,ADAMS,991590000,20180223,5095311437
THE GALLERY SPANAWAY,ACTIVE (ISSUED),413420,6.03337E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,21802 MOUNTAIN HWY E  STE 1,,SPANAWAY,WA,PIERCE,983870000,20170810,3052988577
BUDEEZ,ACTIVE (ISSUED),420661,6.03569E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,2111 E 11TH ST,,BREMERTON,WA,KITSAP,983104810,20171230,3606207114
ANTOINE CREEK FARMS,ACTIVE (ISSUED),412138,6.03348E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,659 ANTOINE CREEK RD,,CHELAN,WA,OKANOGAN,988168653,20171223,2062952284
HERB'S HOUSE,ACTIVE (ISSUED),402039,6.03285E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,716 NW 65TH ST,,SEATTLE,WA,KING,981175049,20180209,2065577388
GROW BROS,ACTIVE (ISSUED),412416,6.03349E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,2990 RADER RD,,ELLENSBURG,WA,KITTITAS,989267750,20171023,2065515239
JEFFERSON'S OWN,ACTIVE (ISSUED),413917,6.03375E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,20025 DUBUQUE RD,STE A,SNOHOMISH,WA,SNOHOMISH,982907405,20180305,4259999936
ANACORTES CANNABIS,ACTIVE (ISSUED),421652,6.03357E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,7656 STATE ROUTE 20 UNIT A,,ANACORTES,WA,SKAGIT,982218311,20171222,3605886222
NIRVANA CANNABIS COMPANY,ACTIVE (ISSUED),424951,6.03359E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,4950 ARENA RD,,RICHLAND,WA,BENTON,993527857,20171115,5098082391
ALPHA BUDZ,ACTIVE (ISSUED),413066,6.03351E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,185 ZEPEDA RD BLDG 1,,FORKS,WA,CLALLAM,983319606,20171102,3606400391
SWEETBRIAR FARM,ACTIVE (ISSUED),416633,6.00566E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,539 EASTMAN RD,STE B,EASTSOUND,WA,SAN JUAN,982459388,20180306,3603196945
DOSE OIL,ACTIVE (ISSUED),423842,6.03527E+15,MARIJUANA PROCESSOR,2911 4TH AVE S,,SEATTLE,WA,KING,981340000,20180212,9544947976
BUDS GARAGE,ACTIVE (ISSUED),421005,6.0335E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,3015 EVERETT AVE,,EVERETT,WA,SNOHOMISH,982013822,20171026,4258793437
ZENTA GARDEN,ACTIVE (ISSUED),423681,6.03353E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,1888 BOBLETT ST,,BLAINE,WA,WHATCOM,982305118,20171121,3605262929
112TH STREET CANNABIS,ACTIVE (ISSUED),423413,6.03349E+15,MARIJUANA RETAILER,5809 112TH ST E BLDG B,,PUYALLUP,WA,PIERCE,983734323,20171127,2069924008
DAB NW,ACTIVE (ISSUED),416333,6.0335E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,23921 SOFIE ROAD,,MONROE,WA,SNOHOMISH,982727225,20171024,4253597905
PARADISE VALLEY PRODUCTIONS,ACTIVE (ISSUED),417179,6.03376E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,7521 POSTMA RD,SUITE C,MOXEE,WA,YAKIMA,989369706,20180224,3606680176
DOCKSIDE CANNABIS,ACTIVE (ISSUED),414569,6.03355E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,15001 AURORA AVE N,STE 15029,SHORELINE,WA,KING,981336134,20171214,2066186094
DESTINATION HIGHWAY 420,ACTIVE (ISSUED),414503,6.03454E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,1225 HOLLIS ST,,BREMERTON,WA,KITSAP,983103611,20171219,3603406996
TOKELAND GROWING,ACTIVE (ISSUED),413923,6.03355E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,3724 EAST HOFF RD,,EVERSON,WA,WHATCOM,982470000,20171109,3605807702
GREEN POWER OF WASHINGTON,ACTIVE (ISSUED),412860,6.0333E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,73 PIT RD,STE A,BREWSTER,WA,OKANOGAN,988120000,20171007,2064223123
CENTRAL BUSINESS DISTRICT,ACTIVE (ISSUED),417097,6.03357E+15,MARIJUANA PROCESSOR,205 B OTTO  ST,,PORT TOWNSEND,WA,JEFFERSON,983680000,20171127,3106005324
FILUCY BAY FARMS,ACTIVE (ISSUED),415456,6.03477E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,8509 NEPPEL RD NE,,MOSES LAKE,WA,GRANT,988370000,20180303,2538315632
CANNABIS SUPER STORE LLC,ACTIVE (ISSUED),422745,6.03546E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,4710 EAGLE HARBOR DR. UNIT A,,BAINBRIDGE ISLAND,WA,KITSAP,981102188,20170831,4255030962
THC OF LACEY,ACTIVE (ISSUED),421335,6.04047E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6725 MARTIN WAY E,,OLYMPIA,WA,THURSTON,985165541,20171002,3605397291
FUNKY FARMS,ACTIVE (ISSUED),412743,6.03351E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,31526 N LIDGERWOOD LN STE 1,,DEER PARK,WA,SPOKANE,990068327,20171013,5094136600
OLYMPIC GARDENING,ACTIVE (ISSUED),416589,6.03438E+15,MARIJUANA PRODUCER TIER 3,5693A MUDGETT LAKE RD,,FRUITLAND,WA,STEVENS,991299767,20170829,3608883429
MNS - PNP,ACTIVE (ISSUED),415689,6.03349E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,3 ROLLING HILLS DR SUITE 2,STE 2,TONASKET,WA,OKANOGAN,988559782,20180305,2062256099
CANNA-MED,ACTIVE (ISSUED),417316,6.03445E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,234 OMAK RIVER RD STE A,,OMAK,WA,OKANOGAN,988419673,20171012,6502815236
CULTURED ELEMENTS,ACTIVE (ISSUED),416788,6.0345E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,13120 W MEADOW LAKE RD,STE A,CHENEY,WA,SPOKANE,990049034,20171205,4254424595
PNG,ACTIVE (ISSUED),413225,6.03478E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,11509 W 21ST AVE BLD 2,STE 300,AIRWAY HEIGHTS,WA,SPOKANE,990015101,20171215,5099905340
THE GRASS STATION,ACTIVE (ISSUED),422658,6.03555E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,103B GALBREATH WAY,,RITZVILLE,WA,ADAMS,991690000,20180125,5092187818
REDTAIL,ACTIVE (ISSUED),416310,6.03273E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,14601 PALM CT,,YAKIMA,WA,YAKIMA,989089757,20180126,5095718134
IT IS LIT,ACTIVE (ISSUED),423203,6.03581E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,1611 S SMITTYS BLVD  STE B,STE B,RITZVILLE,WA,ADAMS,991692264,20180109,5096600497
BUDHUT,ACTIVE (ISSUED),421642,6.0357E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,8529 52ND ST SE,,SNOHOMISH,WA,SNOHOMISH,982909282,20171214,4257896996
THE HIDDEN BUSH,ACTIVE (ISSUED),412921,6.03351E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,3230 E HWY 101,,PORT ANGELES,WA,CLALLAM,983629073,20171109,3604529395
THE HERBAL CENTER,ACTIVE (ISSUED),415484,6.03327E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,449 WICHMAN ST S STE A,,TENINO,WA,THURSTON,985899376,20170928,3608274217
KUSHMART,ACTIVE (ISSUED),414520,6.03347E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6309 EVERGREEN WAY STE C,,EVERETT,WA,SNOHOMISH,982034559,20171027,2067691282
DENDRO,ACTIVE (ISSUED),412306,6.03349E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,9327 UMPTANUM RD,,ELLENSBURG,WA,KITTITAS,989268754,20171130,2063564937
420 CAPITOL,ACTIVE (ISSUED),424848,6.03534E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,5980 CAPITOL BLVD SE,,TUMWATER,WA,THURSTON,985015274,20170803,3604026368
KITTY'S CANNA CONNECTION,ACTIVE (ISSUED),417185,6.03466E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,8305 SCHIRM RD NW,STE A & B,OLYMPIA,WA,THURSTON,985029650,20180203,3608663808
TONASKET HOUSE OF CANNABIS,ACTIVE (ISSUED),422454,6.03519E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,305 W 4TH ST STE A,,TONASKET,WA,OKANOGAN,988550000,20171130,3607853843
MIND BENDER ENTERPRISES,ACTIVE (ISSUED),417252,6.03463E+15,MARIJUANA PRODUCER TIER 2,5937 CHUCKANUT DR,,BOW,WA,SKAGIT,982329295,20171230,3607703732
PUGET SOUND CANNABIS COMPANY,ACTIVE (ISSUED),422526,6.03586E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,"18601 HIGHWAY 99, SUITE 200",,LYNNWOOD,WA,SNOHOMISH,980374576,20180201,2066607221
ORGANIC GROWN CANNABIS,ACTIVE (ISSUED),412995,6.03354E+15,MARIJUANA PRODUCER TIER 1,7118 E JENNIE LN #A,,SPOKANE,WA,SPOKANE,992123085,20171201,5099993310
GOOBIE'S DOOBIES,ACTIVE (ISSUED),421953,6.03576E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,28680 MAPLE VALLEY BLACK,DIAMOND RD SE STE A,MAPLE VALLEY,WA,KING,980388193,20180215,2534595741
HASH WAY RECREATIONAL,ACTIVE (ISSUED),422057,6.03581E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,17410 ASH WAY SUITE 4,,LYNNWOOD,WA,SNOHOMISH,980377907,20180306,5097270110
MT BAKER GROWERS,ACTIVE (ISSUED),416153,6.03356E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,4905 GUIDE MERIDIAN RD,#3,BELLINGHAM,WA,WHATCOM,982269109,20171215,3603939499
DELTA#NINE,ACTIVE (ISSUED),412747,6.03351E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,7029 GUIDE MERIDIAN RD SUITE C,,LYNDEN,WA,WHATCOM,982649669,20171202,3607529494
EVER GREEN,ACTIVE (ISSUED),414289,6.03489E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,2917 NE 65TH ST,STE H,VANCOUVER,WA,CLARK,986630000,20180201,3607198195
MOUNTAIN HI,ACTIVE (ISSUED),412446,6.03444E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,19417 63RD AVE NE,,ARLINGTON,WA,SNOHOMISH,982237843,20180222,2062543005
GECKO GROWERS,ACTIVE (ISSUED),412135,6.03347E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,4263 12TH ST SE,STE A,EAST WENATCHEE,WA,DOUGLAS,988028724,20171205,5098819804
MUFFYS POT SHOP,ACTIVE (ISSUED),413930,6.03359E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,3134 E HIGHWAY 101 SUITE A,,PORT ANGELES,WA,CLALLAM,983629074,20180118,3608082532
AMERICAN BAKED CO,ACTIVE (ISSUED),424878,6.03359E+15,MARIJUANA PROCESSOR,2939 4TH AVE S STE 104,STE 104,SEATTLE,WA,KING,981341934,20180103,2069002660
GROWERS GUILD,ACTIVE (ISSUED),426325,6.03352E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6833 112TH ST NE,,ARLINGTON,WA,KING,982236279,20180222,4257700025
CONSCIOUS FAMILY FARMS,ACTIVE (ISSUED),413431,6.03358E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,8109 E BRATT RD   STE A,STE A,FAIRFIELD,WA,SPOKANE,990129654,20180303,3603037327
THE BACK PORCH,ACTIVE (ISSUED),415645,6.03255E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,907 N WENATCHEE AVENUE STE B,,WENATCHEE,WA,CHELAN,985011572,20171108,5096699160
BEACON FARMS,ACTIVE (ISSUED),425324,6.03357E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,1199 W CUNNINGHAM RD STE C-E1,STE C-E1,OTHELLO,WA,ADAMS,993449004,20180105,2066697242
BLACK DIAMOND FARMS,ACTIVE (ISSUED),415968,6.03323E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,14110 EAST MT SPOKANE PARK DR,STE A,MEAD,WA,SPOKANE,990210000,20170906,5097209784
WILBER INDUSTRIES,ACTIVE (ISSUED),413175,6.03354E+15,MARIJUANA PRODUCER TIER 2,43112 248TH AVE SE UNIT C,,ENUMCLAW,WA,KING,980220000,20171123,2068544337
CONSCIOUS CANNABIS,ACTIVE (ISSUED),419271,6.03359E+15,MARIJUANA PRODUCER TIER 2,1120 FAIRCHILD ST  STE D,STE D,MEDICAL LAKE,WA,SPOKANE,990228778,20171116,5099513022
TROPIC GROW,ACTIVE (ISSUED),412106,6.0334E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,1430 MARINE DR,,SEQUIM,WA,CLALLAM,983829574,20171106,9493007380
AGRO COUTURE,ACTIVE (ISSUED),417142,6.03088E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,2919 S ALASKA ST,,TACOMA,WA,PIERCE,984097804,20180301,2065799464
CLOVIS POINT CANNABIS,ACTIVE (ISSUED),415859,6.03357E+15,MARIJUANA PRODUCER TIER 3,4639 NUMBER TWO CANYON RD STEA,STE A,WENATCHEE,WA,CHELAN,988012398,20180125,3605809641
LAST STOP POT SHOP,ACTIVE (ISSUED),415509,6.03359E+15,MARIJUANA RETAILER,"41711 STATE ROUTE 2, #1",,GOLD BAR,WA,SNOHOMISH,982510000,20180213,3602178951
VERTICAL HIGH,ACTIVE (ISSUED),426121,6.03358E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,9212 RIVERSIDE AVE E  STE B,,SUMNER,WA,PIERCE,983900000,20180116,2069993986
BC TL,PENDING (ISSUED),419691,6.03354E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,1824 RD N NE UNIT 4,,MOSES LAKE,WA,GRANT,988370000,20180213,2063693912
REVERIE ENTERPRISES LLC,ACTIVE (ISSUED),417297,6.04034E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,26740 VASHON HWY SW,,VASHON,WA,KING,980708319,20171024,2063549734
FAR WEST ENTERPRISE,ACTIVE (ISSUED),416111,6.03355E+15,MARIJUANA PRODUCER TIER 2,4380 KAWECKI ROAD STE A-B,STE A,MALAGA,WA,CHELAN,988290000,20171221,2066731984
DAVE'S PLACE,ACTIVE (ISSUED),415202,6.03356E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,10 MAPLE GROVE RD,,SUNNYSIDE,WA,YAKIMA,989440000,20171109,5098300275
